age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation
58,M,921,En Couple,4,false,3684 VW 75
57,M,462,Célibataire,0,false,4650 WY 57
58,F,525,En Couple,3,true,8157 VN 51
18,M,728,Célibataire,0,false,9715 CH 60
33,M,1113,Célibataire,0,false,7679 ZL 41
84,M,1256,En Couple,0,false,8406 FN 51
19,M,515,En Couple,4,true,6523 SF 95
65,M,495,En Couple,3,false,4121 KK 76
18,M,493,En Couple,1,true,7053 EM 18
53,M,229,En Couple,0,false,6318 LC 79
29,M,451,En Couple,1,true,586 WD 71
81,F,447,En Couple,1,true,3134 KP 22
45,M,886,En Couple,1,false,5585 IJ 30
20,M,1170,En Couple,0,false,1182 NS 82
39,M,805,Célibataire,0,false,5516 KO 66
72,M,1384,Célibataire,0,false,619 CX 55
53,M,1147,Célibataire,0,false,8685 MR 59
56,M,563,En Couple,1,false,2671 UZ 75
42,M,892,En Couple,2,false,6563 YX 74
45,F,792,Célibataire,0,false,8475 PM 87
56,M,515,Célibataire,0,false,9908 CH 48
55,M,165,En Couple,4,false,1757 HK 86
66,F,248,Célibataire,0,false,8498 BT 56
26,M,585,En Couple,0,true,8601 WX 10
23,M,187,Célibataire,0,false,2792 JL 94
55,F,190,En Couple,4,true,8241 WC 68
79,M,576,Seule,1,false,3548 JL 51
60,M,475,En Couple,2,true,2767 CU 12
21,M,582,En Couple,4,false,2940 FR 83
53,M,469,En Couple,0,false,247 FS 57
42,M,198,En Couple,2,false,4483 CN 68
41,F,152,En Couple,0,false,1784 GL 45
54,F,1314,En Couple,1,true,7794 JO 21
18,M,531,En Couple,0,false,249 AS 57
66,M,742,Célibataire,0,false,7593 DP 89
74,F,186,Célibataire,0,false,2318 AU 92
18,M,778,Célibataire,0,false,29 VP 76
20,Masculin,1047,Seule,1,false,2769 IW 15
39,M,537,En Couple,1,true,3345 MJ 96
21,F,536,Célibataire,0,false,2811 BW 28
65,M,450,En Couple,1,false,2079 SO 75
24,M,576,En Couple,3,false,8266 UM 43
54,M,209,En Couple,3,false,9390 RI 62
49,F,981,Célibataire,0,false,2074 VW 70
36,M,580,Célibataire,0,false,2939 LX 85
52,F,220,En Couple,4,false,287 ZP 96
59,F,467,En Couple,1,false,8113 QB 60
45,F,883,En Couple,2,false,4086 EP 92
63,M,1064,Célibataire,0,false,2243 PP 68
26,F,535,Célibataire,0,false,345 LL 47
37,M,442,En Couple,4,false,1838 ZL 95
22,M,1066,En Couple,2,false,6025 CL 25
30,M,1202,Célibataire,0,false,8234 TV 11
24,Féminin,537,Célibataire,0,false,7540 WZ 34
60,M,1338,En Couple,1,true,7672 HY 89
21,F,790,En Couple,1,false,4078 NR 37
31,M,1109,En Couple,4,false,786 LF 32
25,F,190,Seule,3,false,8377 SP 86
35,F,1219,En Couple,2,false,7055 PM 77
69,M,438,En Couple,0,false,7631 BS 85
76,F,246,En Couple,1,false,2638 PD 27
56,M,427,En Couple,2,false,9284 WX 37
77,M,531,En Couple,3,true,72 VV 50
54,F,193,En Couple,4,false,9158 XT 71
62,M,506,En Couple,4,true,9936 DY 30
44,M,577,En Couple,2,false,8031 HO 91
39,F,448,En Couple,0,false,2324 RM 28
18,M,208,En Couple,4,false,1295 FM 12
38,F,537,En Couple,2,false,7066 MT 94
74,M,782,En Couple,4,true,5796 SS 95
48,M,496,Célibataire,0,false,6390 OY 73
23,M,746,En Couple,1,true,8339 OK 31
23,F,529,En Couple,1,false,1408 RY 13
31,M,1037,En Couple,1,false,9678 XV 50
69,F,212,Célibataire,0,false,5488 PB 52
22,F,484,Célibataire,0,false,7517 ND 40
31,M,206,En Couple,0,false,9396 SR 37
50,M,1144,En Couple,0,false,6503 KT 32
40,M,529,Célibataire,0,false,6006 JS 19
76,M,243,En Couple,1,false,9768 NL 97
24,F,523,Seule,3,false,2168 RO 27
23,M,434,Célibataire,0,false,6730 VG 77
28,F,439,En Couple,4,false,3752 KS 19
35,M,767,En Couple,0,false,9086 RB 38
24,M,1111,En Couple,3,false,494 LU 87
56,M,475,En Couple,3,false,5713 NP 85
43,M,428,Célibataire,0,false,9723 UV 22
67,M,544,En Couple,3,false,5658 LU 58
75,F,455,En Couple,2,false,5306 XJ 44
80,F,729,En Couple,3,true,375 HD 11
27,F,235,Célibataire,0,false,8401 ZV 43
26,F,548,En Couple,4,true,949 FZ 29
19,M,408,Célibataire,0,false,6286 QK 76
38,F,488,En Couple,2,false,1879 OX 92
65,M,405,En Couple,0,false,667 CH 25
68,M,774,Célibataire,0,false,2619 BE 20
24,M,417,Célibataire,0,false,7740 WX 95
33,M,464,En Couple,3,false,779 AN 56
29,F,-1,En Couple,2,false,8205 QF 83
83,M,539,En Couple,1,false,183 FM 94
46,M,880,En Couple,2,false,3894 NS 27
21,M,1315,Célibataire,0,false,6124 TK 98
19,M,814,En Couple,0,true,5721 ZE 57
38,M,426,Seule,2,false,306 GR 73
79,M,1015,Célibataire,0,false,8560 NF 93
57,F,217,Célibataire,0,false,215 VO 60
54,M,583,En Couple,2,true,4417 HI 12
84,M,435,Célibataire,0,false,1527 HK 24
23,F,191,En Couple,2,true,9355 SO 68
37,M,1143,Seule,3,false,6325 JN 96
38,M,434,En Couple,2,false,7576 HB 35
55,Femme,1195,En Couple,4,false,4768 YX 16
74,M,503,Célibataire,0,false,7851 TJ 51
56,M,1167,Seule,2,false,3489 IX 10
42,M,174,Célibataire,0,false,7969 UE 32
28,M,577, ,0,false,2073 NT 67
53,M,476,En Couple,2,false,3057 AV 93
40,M,542,Célibataire,0,false,7621 LJ 65
69,F,516,Seule,1,false,7198 PK 82
59,F,1108,Seule,3,false,4459 GV 82
23,M,459,En Couple,3,false,9681 CD 14
48,M,595,Célibataire,0,false,8524 MF 61
26,F,474,Célibataire,0,false,7313 FH 14
28,M,403,Célibataire,0,false,5986 II 49
53,M,1037,En Couple,0,true,1212 FB 12
31,F,557,En Couple,2,true,6593 DN 17
23,M,1002,En Couple,1,false,8781 UM 20
24,M,456,Célibataire,0,false,135 GR 49
20,M,466,En Couple,4,false,2038 GB 21
20,M,488,En Couple,0,false,4237 WH 47
39,M,466,En Couple,0,false,7653 HR 83
54,F,599,En Couple,1,true,6741 OC 15
20,M,512,En Couple,0,false,3296 TT 86
78,M,558,Célibataire,0,false,9292 OS 42
58,M,566,Célibataire,0,false,2426 LL 69
75,M,166,En Couple,3,false,7399 HH 45
